Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.77,,2018-11-07 17:01:56,2018-11-07 17:02:12,16.695s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Chrome 70.0.3538.77,,2018-11-07 17:01:56,2018-11-07 17:02:05,9.630s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 17:01:56,2018-11-07 17:01:58,1.820s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 17:01:58,2018-11-07 17:02:01,2.936s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 17:02:01,2018-11-07 17:02:04,3.233s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:04,2018-11-07 17:02:04,0.133s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:04,2018-11-07 17:02:04,0.089s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:04,2018-11-07 17:02:04,0.082s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:04,2018-11-07 17:02:04,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 17:02:04,2018-11-07 17:02:04,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 17:02:04,2018-11-07 17:02:05,0.534s,PASSED
takeScreenshot,Chrome 70.0.3538.77,,2018-11-07 17:02:05,2018-11-07 17:02:05,0.410s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-07 17:02:05,2018-11-07 17:02:05,0.085s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Chrome 70.0.3538.77,,2018-11-07 17:02:05,2018-11-07 17:02:12,6.824s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 17:02:05,2018-11-07 17:02:06,0.882s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 17:02:06,2018-11-07 17:02:08,1.348s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 17:02:08,2018-11-07 17:02:11,3.137s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:11,2018-11-07 17:02:11,0.118s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:11,2018-11-07 17:02:11,0.079s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:11,2018-11-07 17:02:11,0.084s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 17:02:11,2018-11-07 17:02:11,0.079s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 17:02:11,2018-11-07 17:02:11,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 17:02:11,2018-11-07 17:02:12,0.527s,PASSED
takeScreenshot,Chrome 70.0.3538.77,,2018-11-07 17:02:12,2018-11-07 17:02:12,0.411s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-07 17:02:12,2018-11-07 17:02:12,0.081s,PASSED
