Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 63.0,,2018-11-07 17:57:58,2018-11-07 17:58:17,18.874s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Firefox 63.0,,2018-11-07 17:57:58,2018-11-07 17:58:09,10.630s,PASSED
openBrowser,Firefox 63.0,,2018-11-07 17:57:59,2018-11-07 17:58:02,2.844s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-07 17:58:02,2018-11-07 17:58:03,1.442s,PASSED
click,Firefox 63.0,,2018-11-07 17:58:03,2018-11-07 17:58:07,4.354s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:07,2018-11-07 17:58:07,0.081s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:07,2018-11-07 17:58:07,0.066s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:07,2018-11-07 17:58:08,0.055s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:08,2018-11-07 17:58:08,0.063s,PASSED
click,Firefox 63.0,,2018-11-07 17:58:08,2018-11-07 17:58:08,0.234s,PASSED
verifyElementPresent,Firefox 63.0,,2018-11-07 17:58:08,2018-11-07 17:58:08,0.522s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-07 17:58:08,2018-11-07 17:58:08,0.143s,PASSED
closeBrowser,Firefox 63.0,,2018-11-07 17:58:08,2018-11-07 17:58:09,0.656s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Firefox 63.0,,2018-11-07 17:58:09,2018-11-07 17:58:17,8.013s,PASSED
openBrowser,Firefox 63.0,,2018-11-07 17:58:09,2018-11-07 17:58:11,1.719s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-07 17:58:11,2018-11-07 17:58:12,1.329s,PASSED
click,Firefox 63.0,,2018-11-07 17:58:12,2018-11-07 17:58:16,3.327s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:16,2018-11-07 17:58:16,0.063s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:16,2018-11-07 17:58:16,0.060s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:16,2018-11-07 17:58:16,0.057s,PASSED
setText,Firefox 63.0,,2018-11-07 17:58:16,2018-11-07 17:58:16,0.055s,PASSED
click,Firefox 63.0,,2018-11-07 17:58:16,2018-11-07 17:58:16,0.236s,PASSED
verifyElementPresent,Firefox 63.0,,2018-11-07 17:58:16,2018-11-07 17:58:17,0.519s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-07 17:58:17,2018-11-07 17:58:17,0.126s,PASSED
closeBrowser,Firefox 63.0,,2018-11-07 17:58:17,2018-11-07 17:58:17,0.513s,PASSED
