Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.77,,2018-11-07 16:58:52,2018-11-07 16:59:29,36.876s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Chrome 70.0.3538.77,,2018-11-07 16:58:52,2018-11-07 16:59:22,29.893s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 16:58:52,2018-11-07 16:58:55,2.715s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 16:58:55,2018-11-07 16:58:56,0.846s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 16:58:56,2018-11-07 16:59:21,25.103s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:21,2018-11-07 16:59:21,0.131s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:21,2018-11-07 16:59:21,0.086s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:21,2018-11-07 16:59:21,0.080s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:21,2018-11-07 16:59:21,0.075s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 16:59:21,2018-11-07 16:59:21,0.057s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 16:59:21,2018-11-07 16:59:22,0.528s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-07 16:59:22,2018-11-07 16:59:22,0.085s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Chrome 70.0.3538.77,,2018-11-07 16:59:22,2018-11-07 16:59:29,6.677s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 16:59:22,2018-11-07 16:59:23,0.943s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 16:59:23,2018-11-07 16:59:24,1.474s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 16:59:24,2018-11-07 16:59:27,3.221s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:27,2018-11-07 16:59:28,0.119s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:28,2018-11-07 16:59:28,0.081s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:28,2018-11-07 16:59:28,0.085s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 16:59:28,2018-11-07 16:59:28,0.078s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 16:59:28,2018-11-07 16:59:28,0.060s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 16:59:28,2018-11-07 16:59:28,0.528s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-07 16:59:28,2018-11-07 16:59:29,0.080s,PASSED
