Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo123,Firefox 63.0,,2018-11-08 16:23:18,2018-11-08 16:23:38,20.053s,PASSED
,,,,,,
Test Cases/Test_002_AddUserDemo,Firefox 63.0,,2018-11-08 16:23:19,2018-11-08 16:23:29,10.629s,PASSED
openBrowser,Firefox 63.0,,2018-11-08 16:23:19,2018-11-08 16:23:22,3.193s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-08 16:23:22,2018-11-08 16:23:23,1.365s,PASSED
click,Firefox 63.0,,2018-11-08 16:23:23,2018-11-08 16:23:27,3.997s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:27,2018-11-08 16:23:27,0.089s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:27,2018-11-08 16:23:27,0.072s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:27,2018-11-08 16:23:28,0.068s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:28,2018-11-08 16:23:28,0.073s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-08 16:23:28,2018-11-08 16:23:28,0.141s,PASSED
click,Firefox 63.0,,2018-11-08 16:23:28,2018-11-08 16:23:28,0.249s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-08 16:23:28,2018-11-08 16:23:28,0.146s,PASSED
verifyElementPresent,Firefox 63.0,,2018-11-08 16:23:28,2018-11-08 16:23:29,0.525s,PASSED
closeBrowser,Firefox 63.0,,2018-11-08 16:23:29,2018-11-08 16:23:29,0.515s,PASSED
,,,,,,
Test Cases/Test_002_AddUserDemo,Firefox 63.0,,2018-11-08 16:23:29,2018-11-08 16:23:38,9.147s,PASSED
openBrowser,Firefox 63.0,,2018-11-08 16:23:29,2018-11-08 16:23:31,1.957s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-08 16:23:31,2018-11-08 16:23:33,1.373s,PASSED
click,Firefox 63.0,,2018-11-08 16:23:33,2018-11-08 16:23:37,4.035s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.064s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.064s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.065s,PASSED
setText,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.062s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.123s,PASSED
click,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.234s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:37,0.126s,PASSED
verifyElementPresent,Firefox 63.0,,2018-11-08 16:23:37,2018-11-08 16:23:38,0.520s,PASSED
closeBrowser,Firefox 63.0,,2018-11-08 16:23:38,2018-11-08 16:23:38,0.516s,PASSED
